OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B  4
 12   3     3.03549E-05      1.82367E-05      4.06693E-06      6.90438E-07
 12   4     2.81983E-05      1.64600E-05     -2.84938E-06      1.37162E-06
 12   5    -4.55095E-06     -1.23349E-05     -5.23153E-06      3.04548E-07
 12   6    -1.79626E-05     -2.43443E-05     -6.30605E-08     -3.82972E-07
 12   7    -1.05374E-05     -7.23700E-06      4.99131E-06     -6.90020E-08
 12   8    -1.24477E-06      1.24704E-05      4.88828E-06     -3.66169E-07
 12   9     2.95664E-06      1.67840E-05      2.02725E-06     -1.58382E-06
 12  10     3.64374E-06      1.08038E-05      1.21438E-07     -2.25102E-06
 12  11     2.55097E-06      4.48585E-06     -2.11504E-07     -1.67497E-06
 12  12     1.01929E-06      1.21250E-06     -5.19304E-08     -6.63394E-07
 13   0     1.94183E-05      0.00000E+00     -5.24171E-08      0.00000E+00
 13   1    -1.02663E-05     -2.40974E-06     -2.88867E-06     -6.50815E-08
 13   2    -2.62973E-05     -8.61388E-06     -9.07267E-08     -5.06876E-07
 13   3     1.53262E-06      3.21243E-06      2.85342E-06     -2.72489E-08
 13   4     1.97795E-05      1.56687E-05      6.91347E-07      6.96496E-07
 13   5     8.63521E-06      4.95115E-06     -2.70866E-06      3.46562E-07
 13   6    -5.77022E-06     -1.29167E-05     -2.12580E-06     -2.56324E-07
 13   7    -7.88551E-06     -1.36145E-05      1.15568E-06      4.51722E-09
 13   8    -4.06057E-06     -7.40364E-07      2.96939E-06      4.18653E-07
 13   9    -1.15574E-06      8.89968E-06      2.29191E-06     -1.22662E-08
 13  10     2.72008E-07      9.45831E-06      9.31755E-07     -8.50884E-07
 13  11     8.72769E-07      5.67353E-06      2.20702E-07     -1.13488E-06
 13  12     7.49167E-07      2.33132E-06      7.14463E-08     -7.58658E-07
 13  13     3.10902E-07      6.35619E-07      4.46536E-08     -2.70596E-07
 14   0     1.13341E-05      0.00000E+00      7.83746E-07      0.00000E+00
 14   1     7.68810E-06      9.87281E-07     -1.06426E-06      6.20438E-08
 14   2    -1.35845E-05     -5.27601E-06     -1.15695E-06     -2.33314E-07
 14   3    -9.62082E-06     -4.46279E-06      9.30906E-07     -2.19818E-07
 14   4     6.57294E-06      6.80546E-06      1.35017E-06      2.69695E-07
 14   5     9.19019E-06      9.52343E-06     -5.40355E-07      3.17146E-07
 14   6     1.46120E-06     -1.24602E-06     -1.65859E-06     -1.40544E-07
 14   7    -3.20104E-06     -9.59582E-06     -5.50372E-07     -1.94846E-07
 14   8    -2.97755E-06     -6.40730E-06      1.08790E-06      2.68445E-07
 14   9    -1.92974E-06      1.46690E-06      1.55947E-06      4.47594E-07
 14  10    -1.31994E-06      5.58094E-06      1.04424E-06      3.27422E-08
 14  11    -6.60246E-07      5.01256E-06      4.69063E-07     -4.49866E-07
 14  12    -8.43987E-08      2.82934E-06      2.01924E-07     -5.37081E-07
 14  13     1.12592E-07      1.13834E-06      1.05918E-07     -3.21494E-07
 14  14     6.53128E-08      3.05835E-07      4.43862E-08     -1.03390E-07
 15   0     2.26349E-06      0.00000E+00      5.84101E-07      0.00000E+00
 15   1     9.70139E-06      1.68191E-06      5.29799E-08      7.02133E-08
 15   2    -1.75924E-06     -1.06273E-06     -8.19836E-07     -5.20204E-08
 15   3    -8.37787E-06     -4.87604E-06     -1.37319E-07     -1.90512E-07
 15   4    -1.47562E-06     -2.81907E-07      8.04143E-07      3.22961E-08
 15   5     4.77054E-06      6.30881E-06      3.69353E-07      2.31352E-07
 15   6     3.27573E-06      4.17249E-06     -6.75150E-07      9.26676E-09
 15   7    -9.91366E-08     -3.12698E-06     -7.81119E-07     -2.22027E-07
