  1     0   C
  1     1   C
  1     1   S
  2     0   C
  2     1   C
  2     1   S
  2     2   C
  2     2   S
  3     0   C
  3     1   C
  3     1   S
  3     2   C
  3     2   S
  3     3   C
  3     3   S
  4     0   C
  4     1   C
  4     1   S
  4     2   C
  4     2   S
  4     3   C
  4     3   S
  4     4   C
  4     4   S
  5     0   C
  5     1   C
  5     1   S
  5     2   C
  5     2   S
  5     3   C
  5     3   S
  5     4   C
  5     4   S
  5     5   C
  5     5   S
  6     0   C
  6     1   C
  6     1   S
  6     2   C
  6     2   S
  6     3   C
  6     3   S
  6     4   C
  6     4   S
  6     5   C
  6     5   S
  6     6   C
  6     6   S
  7     0   C
  7     1   C
  7     1   S
  7     2   C
  7     2   S
  7     3   C
  7     3   S
  7     4   C
  7     4   S
  7     5   C
  7     5   S
  7     6   C
  7     6   S
  7     7   C
  7     7   S
  8     0   C
  8     1   C
  8     1   S
  8     2   C
  8     2   S
  8     3   C
  8     3   S
  8     4   C
  8     4   S
  8     5   C
  8     5   S
  8     6   C
  8     6   S
  8     7   C
  8     7   S
  8     8   C
  8     8   S
  9     0   C
  9     1   C
  9     1   S
  9     2   C
  9     2   S
  9     3   C
  9     3   S
  9     4   C
  9     4   S
  9     5   C
  9     5   S
  9     6   C
  9     6   S
  9     7   C
  9     7   S
  9     8   C
  9     8   S
  9     9   C
  9     9   S
