           1   28886.9822987986     
           2  1.000367211259852E-024
           3   20690.5898469353     
           4  9.206030913657502E-025
           5  1.298602949711769E-021
           6  3.870585437063537E-025
           7  9.493785035722191E-021
           8  1.122779812273983E-025
           9  2.607045721863055E-021
          10  2.513635891457096E-026
          11  7.782600881949596E-023
          12  4.248399973576964E-027
          13  1.860150467693088E-023
          14  6.486097112750716E-028
          15  1.319455956504274E-023
          16  9.566969961865506E-029
          17  1.436115268823990E-024
          18  1.415587708478018E-029
          19  8.517549628620910E-027
          20  2.008657776710362E-030
          21  1.243183655838411E-026
          22  2.770316444228856E-031
          23  4.138720907323278E-027
          24  3.774411296833419E-032
          25  1.274265917875865E-028
          26  1.151418579843430E-033
