OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B  4
 12   4     4.85661E-18     -1.78977E-18      5.04351E-18     -1.06128E-17
 12   5    -5.18876E-18      2.33790E-19     -2.12098E-18      2.01053E-20
 12   6     4.04634E-18     -1.15780E-18     -1.39196E-19     -3.13987E-19
 12   7    -8.70686E-18      1.73569E-18     -5.39779E-21     -2.65412E-19
 12   8     7.56176E-18     -1.98790E-18     -6.14166E-19     -2.50847E-18
 12   9    -7.46858E-18      2.29935E-18      5.26598E-19      9.65751E-19
 12  10     8.86585E-18     -2.55018E-18     -1.09386E-18     -4.45710E-18
 12  11     7.46166E-18     -4.45049E-18      2.14320E-18      3.21237E-18
 12  12    -6.84939E-19      5.83355E-18      1.11112E-18      1.69915E-18
 13   0     1.52861E-16      0.00000E+00      2.14708E-17      0.00000E+00
 13   1    -4.42135E-16      3.65427E-16     -4.92440E-18      1.48808E-17
 13   2     6.70680E-17     -5.78158E-18     -3.00273E-18     -2.68526E-17
 13   3     4.34583E-17      6.41797E-17     -4.44287E-18      2.95567E-18
 13   4     1.10897E-17      5.45113E-18     -1.29026E-18     -2.42145E-18
 13   5     2.62655E-18     -4.31722E-19      2.27149E-20      1.89896E-19
 13   6    -5.68344E-18      7.02511E-19     -1.42023E-19     -2.96696E-19
 13   7     4.33316E-18     -9.03458E-19     -1.77798E-19     -6.79375E-19
 13   8    -9.47499E-18      1.68268E-18      4.72842E-21     -1.24610E-19
 13   9     7.91976E-18     -1.52135E-18     -8.46461E-19     -2.69891E-18
 13  10    -5.53466E-18      2.66522E-19      7.23730E-19      1.01517E-18
 13  11     8.19510E-18     -2.89710E-18     -1.64205E-18     -3.69382E-18
 13  12     7.42961E-18     -4.87314E-18      1.96115E-18      2.90393E-18
 13  13     1.37498E-18      5.80374E-18      1.29354E-18      1.88762E-18
 14   0     2.68727E-16      0.00000E+00      9.44771E-17      0.00000E+00
 14   1     6.66966E-16      4.52431E-16     -2.74839E-17     -2.90274E-17
 14   2     3.28753E-17     -3.06634E-17      1.67766E-17     -1.08132E-16
 14   3     1.59966E-17      2.61706E-17     -1.79374E-17      8.81685E-18
 14   4     6.06250E-18     -2.67855E-18      2.12820E-18     -4.36384E-18
 14   5    -3.68344E-18      1.49869E-19     -1.88908E-18      5.31182E-20
 14   6     3.22759E-18     -8.55005E-19     -7.12945E-20      9.49184E-20
 14   7    -7.08454E-18      1.54083E-18     -7.21070E-20     -3.30203E-19
 14   8     5.77683E-18     -1.61554E-18     -2.83279E-19     -9.90424E-19
 14   9    -9.63707E-18      2.98903E-18      1.88939E-19      8.47136E-20
 14  10     8.06826E-18     -3.26236E-18     -6.92631E-19     -2.74122E-18
 14  11    -4.43787E-18      1.44968E-18      6.44162E-19      9.03326E-19
 14  12     7.61783E-18     -2.20171E-18     -1.72817E-18     -3.30755E-18
 14  13     9.09893E-18     -6.09359E-18      2.16389E-18      3.17736E-18
 14  14    -1.26474E-18      4.56429E-18      1.51054E-18      1.96018E-18
 15   0    -3.02771E-17      0.00000E+00      1.49300E-17      0.00000E+00
 15   1    -4.48466E-16      2.89313E-16     -1.74400E-17     -1.38440E-18
 15   2     4.40044E-16      2.03459E-17     -9.75507E-19     -1.80079E-17
 15   3     1.74525E-17      2.96620E-17     -1.20698E-17      7.18245E-18
 15   4     1.50163E-17      6.95990E-18     -2.25741E-19     -5.40230E-19
 15   5     1.85387E-18     -1.56625E-18      1.60265E-20      2.38308E-19
 15   6    -4.13828E-18      6.05255E-19     -1.01871E-19     -2.56389E-19
 15   7     3.40750E-18     -7.26633E-19     -4.92519E-20     -1.20438E-19
 15   8    -8.25941E-18      1.46750E-18     -7.91876E-20     -3.10964E-19
 15   9     6.35030E-18     -1.54604E-18     -3.66940E-19     -1.18918E-18
 15  10    -8.95208E-18      1.35506E-18      2.57547E-19      1.33733E-19
 15  11     7.39763E-18     -3.07544E-18     -1.15580E-18     -2.52532E-18
 15  12    -3.83289E-18      1.56473E-18      1.04780E-18      9.49597E-19
 15  13     1.00825E-17     -2.81110E-18     -1.99863E-18     -2.96672E-18
 15  14     9.35307E-18     -7.74011E-18      1.99689E-18      2.51301E-18
 15  15    -2.78612E-18      6.13353E-18      1.52497E-18      1.64805E-18
