OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B  4
 12   3     1.64125E-17     -2.75151E-17     -9.67666E-19     -5.95960E-18
 12   4    -1.31388E-17      2.05061E-19     -1.02706E-17      6.36087E-18
 12   5     1.10678E-18     -1.79383E-18     -2.70058E-19     -1.02672E-18
 12   6    -1.60348E-17      3.29078E-18     -3.38818E-19     -2.16569E-18
 12   7     6.81727E-18     -2.88712E-18     -7.51039E-19     -3.29816E-18
 12   8    -1.26024E-17      2.43356E-18      7.20267E-20     -1.10647E-18
 12   9     1.19039E-17     -5.13028E-18     -1.54672E-18     -5.13592E-18
 12  10     3.20195E-18      5.47393E-20      8.88270E-19      1.64574E-18
 12  11     4.23132E-18     -8.13828E-19     -2.63895E-19     -1.00278E-18
 12  12     2.47596E-18     -1.28053E-18      5.55790E-19      1.16600E-18
 13   0    -4.14729E-16      0.00000E+00     -1.35572E-19      0.00000E+00
 13   1     2.70396E-15     -1.43297E-15     -5.66482E-18     -3.09153E-18
 13   2     4.48372E-17      1.25761E-17     -4.20383E-17      1.05349E-16
 13   3     9.21770E-17     -1.20232E-17      4.19601E-18      2.22600E-18
 13   4    -7.09750E-18     -7.85987E-18     -8.00531E-20      7.56832E-20
 13   5    -1.53604E-17     -1.35406E-18     -3.37278E-19     -1.68997E-18
 13   6     2.10705E-18     -9.80552E-19     -3.25684E-19     -1.56676E-18
 13   7    -1.44497E-17      2.15890E-18     -4.52910E-19     -1.83367E-18
 13   8     7.51953E-18     -2.55003E-18     -1.00302E-18     -3.89961E-18
 13   9    -1.04802E-17      2.38189E-18     -1.00548E-19     -9.38334E-19
 13  10     1.10837E-17     -2.57999E-18     -1.88144E-18     -4.19134E-18
 13  11     3.60384E-18     -2.61545E-18      1.10224E-18      1.41246E-18
 13  12     3.29632E-18     -1.73901E-18     -1.03010E-18     -9.69796E-19
 13  13     2.85196E-18     -2.42309E-18      4.75561E-19      1.04332E-18
 14   0    -1.35512E-15      0.00000E+00     -4.53787E-20      0.00000E+00
 14   1     1.00432E-17     -5.69514E-16      9.48340E-17      1.84046E-16
 14   2    -8.25234E-17     -3.09778E-17     -8.14463E-17      2.30320E-16
 14   3     1.45084E-17     -2.43414E-17      4.39693E-18      3.78408E-17
 14   4    -1.12881E-17      2.31781E-19     -4.56604E-18      2.39875E-18
 14   5    -3.56845E-19     -1.29125E-18     -2.57815E-19     -2.22829E-19
 14   6    -1.55549E-17      3.19062E-18     -3.37336E-19     -1.76189E-18
 14   7     3.82641E-18     -1.87006E-18     -4.94434E-19     -1.83915E-18
 14   8    -1.72058E-17      3.75906E-18     -3.09131E-19     -1.71766E-18
 14   9     9.45323E-18     -4.57959E-18     -1.29585E-18     -4.00797E-18
 14  10    -6.34483E-18      4.55536E-18      3.35804E-21     -2.91128E-19
 14  11     9.08801E-18     -4.75430E-18     -1.30632E-18     -3.34672E-18
 14  12     2.15160E-18      6.55115E-19      1.18488E-18      1.40012E-18
 14  13     1.83243E-18     -1.56762E-18     -2.41914E-19     -1.14103E-18
 14  14     3.14036E-18     -1.82472E-18      4.97570E-19      1.17765E-18
 15   0    -1.00848E-15      0.00000E+00     -1.11792E-19      0.00000E+00
 15   1     2.33746E-15     -1.24408E-15      6.88569E-17     -1.21361E-18
 15   2    -4.29911E-16     -1.54548E-16     -2.84766E-17      7.13123E-17
 15   3     5.44100E-17     -7.07316E-18      1.33283E-17      8.62802E-18
 15   4    -1.03926E-17     -1.11603E-17     -5.87668E-20      3.00519E-19
 15   5    -1.37825E-17     -8.04779E-19     -2.73927E-19     -1.23757E-18
 15   6     1.44289E-19     -6.02073E-19     -1.30595E-19     -7.05918E-19
 15   7    -1.50240E-17      2.59525E-18     -4.71953E-19     -1.63386E-18
 15   8     4.63800E-18     -1.71204E-18     -6.44651E-19     -2.36806E-18
 15   9    -1.59543E-17      4.32080E-18     -5.20399E-19     -1.69349E-18
 15  10     9.80541E-18     -2.73495E-18     -1.57366E-18     -3.55877E-18
 15  11    -4.41791E-18      6.62850E-19      1.95404E-19     -1.71259E-20
 15  12     8.35816E-18     -6.36361E-18     -2.72467E-18     -2.95562E-18
 15  13     2.24538E-18     -3.80617E-18      1.27294E-18      1.30362E-18
 15  14     4.72128E-18      8.37076E-19     -4.70911E-19     -7.02950E-19
 15  15     4.23864E-18     -2.79102E-18      4.47179E-19      9.43455E-19
 16   0    -3.94330E-15      0.00000E+00     -3.91752E-20      0.00000E+00
 16   1     1.20587E-17     -3.35639E-16      2.34560E-16      4.46030E-16
 16   2    -2.44309E-16     -9.59208E-17     -3.35774E-17      9.71708E-17
 16   3     3.11581E-18     -7.05687E-18      6.67829E-18      5.62859E-17
 16   4    -9.62804E-18     -3.77695E-20      1.50319E-18     -2.04039E-18
 16   5    -1.13830E-18     -9.26626E-19     -2.30031E-19      1.15888E-19
 16   6    -1.44343E-17      3.00493E-18     -2.81109E-19     -1.34816E-18
 16   7     1.90943E-18     -1.14663E-18     -3.09516E-19     -9.86156E-19
 16   8    -1.82128E-17      4.11217E-18     -4.13367E-19     -1.67538E-18
 16   9     6.30761E-18     -3.36080E-18     -8.87784E-19     -2.70714E-18
 16  10    -1.17951E-17      6.93288E-18     -3.71271E-19     -1.09289E-18
 16  11     8.56952E-18     -5.05790E-18     -1.27475E-18     -2.99737E-18
 16  12    -5.18533E-18      7.51892E-18     -3.34354E-20      1.53024E-19
 16  13     6.77102E-18     -6.48016E-18     -1.62460E-18     -3.56196E-18
 16  14     3.89577E-18     -1.91698E-18      1.35267E-18      1.51273E-18
 16  15     5.66967E-18     -6.98461E-19     -2.48188E-19     -4.02034E-19
 16  16     2.57263E-18     -3.24975E-18      6.06179E-19      9.88600E-19
 17   0    -1.21201E-15      0.00000E+00     -8.77567E-20      0.00000E+00
 17   1     5.47108E-16     -2.99031E-16      9.94622E-17      3.99557E-19
 17   2    -6.90436E-16     -2.46314E-16     -3.06944E-18      7.78448E-18
 17   3    -2.04172E-17      2.40121E-18      1.43699E-17      9.45946E-18
 17   4    -9.34401E-18     -9.87855E-18     -5.76538E-20      3.59239E-19
 17   5    -1.21454E-17     -6.24346E-19     -2.19786E-19     -9.14401E-19
 17   6    -9.32181E-19     -2.93605E-19     -3.04163E-20     -2.68700E-19
 17   7    -1.41854E-17      2.69288E-18     -4.37077E-19     -1.33439E-18
 17   8     2.31547E-18     -1.09012E-18     -3.97552E-19     -1.35317E-18
 17   9    -1.79213E-17      5.32452E-18     -6.19866E-19     -1.73051E-18
 17  10     7.45550E-18     -1.89182E-18     -1.13680E-18     -2.52061E-18
 17  11    -9.47207E-18      2.98037E-18     -2.58940E-19     -6.87610E-19
 17  12     8.43598E-18     -6.05753E-18     -2.60878E-18     -2.78984E-18
 17  13    -6.90118E-18      5.36286E-19      3.98750E-19      1.99693E-19
 17  14     1.05937E-17     -4.41830E-18     -1.88579E-18     -2.89767E-18
 17  15     6.98460E-18     -4.33065E-18      1.19653E-18      1.20243E-18
 17  16     3.62427E-18     -3.16435E-18      8.74775E-20     -5.41481E-19
 17  17     1.74795E-18     -2.92162E-18      4.77560E-19      6.97394E-19
 18   0    -4.59914E-15      0.00000E+00     -3.69734E-20      0.00000E+00
 18   1     7.17410E-18      1.14678E-16      2.41899E-16      4.57774E-16
 18   2    -2.78729E-16     -1.10107E-16      2.35634E-17     -6.32051E-17
 18   3    -1.12652E-17      1.38410E-17      5.41828E-18      4.55502E-17
 18   4    -8.37318E-18     -4.16513E-20      5.60489E-18     -5.07756E-18
 18   5    -1.42994E-18     -9.11115E-19     -2.00819E-19      2.77274E-19
 18   6    -1.30942E-17      2.72371E-18     -2.36276E-19     -1.03436E-18
 18   7     4.04381E-19     -4.36599E-19     -2.11428E-19     -4.68445E-19
 18   8    -1.76737E-17      4.30482E-18     -3.97577E-19     -1.43590E-18
 18   9     3.68109E-18     -2.28382E-18     -5.57600E-19     -1.74525E-18
 18  10    -1.43621E-17      7.85365E-18     -5.09756E-19     -1.30117E-18
 18  11     6.88608E-18     -4.49322E-18     -1.02019E-18     -2.21999E-18
 18  12    -1.03028E-17      1.20509E-17     -6.86417E-19     -5.82183E-19
 18  13     7.20145E-18     -7.19300E-18     -1.70094E-18     -3.44829E-18
 18  14    -3.93358E-18      3.14825E-18      4.93046E-19      2.76121E-19
 18  15     1.05866E-17     -5.51140E-18     -1.88545E-18     -2.69844E-18
 18  16     3.32684E-18     -6.43801E-18      1.46450E-18      1.39239E-18
 18  17     8.14972E-19     -1.65198E-18     -1.88236E-19     -8.80477E-19
 18  18     2.02094E-18     -2.42259E-18      6.04147E-19      8.35110E-19
 19   0    -8.55899E-16      0.00000E+00     -8.04353E-20      0.00000E+00
 19   1    -1.70331E-15      8.93395E-16      7.75331E-17      1.19919E-18
 19   2    -5.80463E-16     -2.05452E-16      1.99805E-17     -4.97447E-17
 19   3    -9.07305E-17      1.06880E-17      8.57259E-18      5.57556E-18
 19   4    -5.09533E-18     -4.39938E-18     -4.40054E-20      3.62434E-19
 19   5    -1.07080E-17     -4.11100E-19     -1.79905E-19     -6.91293E-19
 19   6    -1.40711E-18     -1.49701E-19      2.18942E-20     -1.80629E-20
 19   7    -1.32562E-17      2.65564E-18     -3.90809E-19     -1.08475E-18
 19   8     7.38340E-19     -4.30638E-19     -2.12937E-19     -7.37789E-19
 19   9    -1.81996E-17      5.47385E-18     -5.86133E-19     -1.54472E-18
 19  10     5.34831E-18     -1.05941E-18     -7.33127E-19     -1.71063E-18
 19  11    -1.21540E-17      4.51339E-18     -4.41792E-19     -9.00783E-19
 19  12     6.98698E-18     -4.69605E-18     -2.05245E-18     -2.17846E-18
 19  13    -1.32562E-17      3.95598E-18     -1.58452E-19     -4.46906E-19
 19  14     1.09035E-17     -5.50686E-18     -1.99361E-18     -3.07091E-18
 19  15    -5.05688E-19      8.93959E-19      4.93329E-19      2.83157E-19
 19  16     9.21733E-18     -9.21409E-18     -1.32901E-18     -2.31959E-18
 19  17     5.60300E-19     -4.94380E-18      1.23256E-18      8.85648E-19
 19  18     2.04805E-18     -2.22083E-18     -4.94496E-19     -3.83522E-19
 19  19     2.87897E-18     -2.75339E-18      4.34637E-19      3.49714E-19
 20   0    -2.80146E-15      0.00000E+00     -2.73971E-20      0.00000E+00
 20   1    -1.76384E-19      5.31270E-16      1.30824E-16      2.46491E-16
 20   2    -1.62482E-16     -6.40470E-17      6.14979E-17     -1.70603E-16
 20   3    -2.09921E-17      2.84682E-17      1.82074E-18      1.58659E-17
 20   4    -7.42117E-18      1.44676E-19      6.73941E-18     -5.79649E-18
 20   5    -1.64733E-18     -7.02435E-19     -1.67937E-19      3.52361E-19
 20   6    -1.20383E-17      2.51609E-18     -1.83228E-19     -8.02075E-19
 20   7    -2.51675E-19     -2.73791E-19     -1.39540E-19     -1.65072E-19
 20   8    -1.66778E-17      4.01973E-18     -3.39644E-19     -1.16880E-18
 20   9     1.77116E-18     -1.33065E-18     -3.66638E-19     -1.10072E-18
 20  10    -1.50270E-17      8.20784E-18     -5.03820E-19     -1.24881E-18
 20  11     5.29107E-18     -3.27857E-18     -7.54295E-19     -1.53604E-18
 20  12    -1.30262E-17      1.43920E-17     -9.13224E-19     -8.26145E-19
 20  13     5.99875E-18     -6.50037E-18     -1.44852E-18     -2.74716E-18
 20  14    -1.01507E-17      7.12251E-18     -1.19160E-19     -5.38528E-19
 20  15     1.10871E-17     -6.61319E-18     -2.11297E-18     -3.02989E-18
 20  16    -3.10714E-18     -2.64079E-18      6.98941E-19      4.89987E-19
 20  17     4.49474E-18     -6.89868E-18     -1.75221E-18     -2.74693E-18
