 KE SPECTRUM PER DEGREE L IN (KM/YR)^2: \int u^2 dOmega / (4 Pi)
           1   105.625000000014     
           2   63.3749999999859     
           3  6.938683035606943E-026
           4  1.677089332130048E-023
           5  3.532040038829101E-026
           6  1.834062485029730E-023
           7  7.792471402383380E-027
           8  1.005463360422132E-026
           9  8.590233922387672E-027
          10  4.069611618101852E-023
          11  1.931046093521277E-026
          12  9.819501073632104E-023
          13  1.745202607414892E-026
          14  4.256204060988542E-023
          15  2.370876748062392E-026
          16  7.000707711196373E-024
          17  2.614496663863558E-026
          18  1.379795663467090E-022
          19  3.955922106984581E-026
          20  2.009458733559594E-022
          21  4.069866918180005E-026
          22  4.845794666239207E-023
          23  5.992616164797933E-026
          24  4.156651502754633E-023
          25  8.133572897272686E-026
