OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B  1
 12   3    -8.33045E-19     -1.16067E-19     -4.25002E-21      1.35579E-21
 12   4    -7.52980E-20      2.10422E-21      5.16414E-21     -4.49704E-20
 12   5    -2.16587E-18     -2.28072E-19      2.52972E-21     -2.63908E-21
 12   6     9.47877E-21     -5.17153E-20     -4.76828E-20     -1.41463E-19
 12   7    -3.47709E-18      1.53655E-19      4.06463E-21     -5.08766E-21
 12   8    -3.09360E-20      2.16210E-20     -7.55641E-20     -3.94285E-19
 12   9    -7.77113E-18      1.31322E-18     -1.70246E-21     -6.35515E-21
 12  10     1.59857E-21     -3.28569E-20     -3.37285E-19     -1.02722E-18
 12  11    -1.02394E-17      3.17227E-18     -4.84913E-21      1.26561E-21
 12  12    -4.82433E-20     -1.71633E-20     -3.30421E-19     -1.58224E-18
 13   0    -1.12419E-19      0.00000E+00      8.68785E-31      0.00000E+00
 13   1    -3.73436E-19     -2.91247E-19     -4.41719E-18      4.40934E-18
 13   2    -2.64999E-19     -1.79900E-19      1.78568E-21     -2.33696E-22
 13   3    -3.07980E-21      3.10780E-20      5.00132E-21     -1.29328E-20
 13   4    -1.31349E-18     -1.28257E-19      1.88738E-21     -3.99480E-22
 13   5     1.25280E-20      2.20002E-20     -1.16919E-21     -5.58944E-20
 13   6    -2.77100E-18      7.86144E-19      5.18909E-21      2.08427E-21
 13   7    -3.39004E-20      5.27662E-21     -1.01710E-21     -1.35796E-19
 13   8    -5.07370E-18      9.82155E-19     -5.08355E-21      7.07378E-21
 13   9     4.77507E-20      9.77081E-21     -7.19341E-20     -4.57461E-19
 13  10    -8.76827E-18      2.74360E-18      6.89704E-21     -2.42341E-21
 13  11    -3.69452E-20      4.05908E-20     -3.00583E-19     -9.91420E-19
 13  12    -6.78343E-18      1.36589E-18     -3.06658E-21     -1.04661E-20
 13  13    -9.44835E-21     -3.12112E-20     -1.10287E-18     -1.51951E-18
 14   0    -2.26699E-20      0.00000E+00     -1.13658E-31      0.00000E+00
 14   1     4.92373E-16      4.91225E-16      3.49562E-21     -1.65061E-21
 14   2     2.09882E-20     -1.13129E-19      2.80966E-21      1.24336E-21
 14   3    -6.29391E-19     -9.92423E-20      4.11252E-21     -2.45351E-21
 14   4    -1.66176E-20      9.62838E-20      9.98527E-22     -2.47074E-20
 14   5    -1.62826E-18     -4.47441E-20     -3.06988E-21     -2.02163E-21
 14   6     2.78148E-20      3.18855E-21     -2.36884E-20     -7.82102E-20
 14   7    -2.66834E-18      1.50265E-19      3.84381E-21      3.20912E-21
 14   8    -3.38437E-20      5.04916E-20     -3.60472E-20     -1.99771E-19
 14   9    -6.12231E-18      1.04349E-18     -2.28290E-21     -2.93480E-21
 14  10    -8.92241E-21      3.09964E-20     -1.65333E-19     -5.12657E-19
 14  11    -8.77200E-18      2.72572E-18      9.53517E-21     -2.39941E-21
 14  12     1.18957E-20     -8.09693E-20     -1.38240E-19     -6.49500E-19
 14  13    -6.85387E-18      4.96380E-18      2.74189E-21     -4.71348E-21
 14  14    -4.86837E-22     -3.84295E-20     -1.24685E-18     -2.09588E-18
 15   0    -1.74955E-19      0.00000E+00      2.20797E-30      0.00000E+00
 15   1    -2.02461E-19      9.61575E-20     -8.59016E-19      8.56753E-19
 15   2    -1.59903E-19      1.58259E-21      1.45734E-22      2.04192E-21
 15   3    -4.54389E-20     -3.66141E-20      1.59447E-21     -5.74916E-21
 15   4    -1.02549E-18     -1.19230E-19      4.69487E-21      7.21983E-22
 15   5     2.38624E-25     -7.75875E-20      4.30186E-22     -3.38875E-20
