0,,,,,,,,
49.5,,,102899,154.9,30.7,11.4,9.7,9.7
50,103211.00,43,103211,154.9,61.9,18,8.4,8.4
50.5,,,103233,135.5,48.3,10.4,6.9,6.9
51,,,103254,157.3,46.5,13.3,7.7,7.7
51.5,103276.00,64,103276,115.7,19.4,21,19,19
52,,,103293,135.4,42,5.7,4.2,4.2
52.5,,,103311,206.9,49.8,25.3,24.7,24.7
53,103329.00,35,103329,153.6,44.4,15.5,8.5,8.5
53.5,103486.00,48,103486,165.7,39,5.7,4.5,4.5
54,,,103562,129.1,18.2,10.1,9.4,9.4
54.5,,,103638,127.1,8.8,12.9,12.5,12.5
55,103714.00,91,103714,,,,,
55.5,,,103984,163.7,27.3,32.5,32.3,32.3
56,104253.00,46,104253,124.3,44.9,25.9,18,18
56.5,,,104316,113.8,55.7,10.6,5.9,5.9
57,,,104379,,,,,
57.5,104442.00,117,104442,121.7,43.6,20.5,14.7,14.7
58,,,104449,121.2,24.2,25.5,23.1,23.1
58.5,,,104457,,,,,
59,,,104464,,,,,
59.5,,,104471,153.9,67.2,15.1,5.8,5.8
60,,,104478,157.6,55.5,1.7,1,1
60.5,104485.00,35,104485,144.1,55.3,13.8,7.8,7.8
61,,,104536,,,,,
61.5,,,104587,114.8,62.8,7.9,3.6,3.6
62,104637.00,40,104637,154.4,61.9,8.3,3.9,3.9
62.5,,,104706,180.7,35.6,0,1.1,1.1
63,,,104774,,,,,
63.5,104843.00,60,104843,177.9,43.7,1.4,1,1
64,,,104879,144.3,44.1,7.1,5.1,5.1
64.5,,,104916,191.4,33.9,1.7,1.4,1.4
65,104953.00,56,104953,226.8,44.2,23.6,16.7,16.7
65.5,,,104964,213,35.9,5.2,4.2,4.2
66,,,104975,201.1,16.8,3.5,3.3,3.3
66.5,,,104987,223.1,33.7,9.1,7.5,7.5
67,,,104998,237.5,27.6,5.2,4.6,4.6
67.5,,,105010,199.1,31.3,10.7,9.1,9.1
68,105021.00,62,105021,174.4,-2.9,1.7,1.7,1.7
68.5,105038.00,38,105038,127.3,4.4,20.1,19,19
69,,,105047,133.4,13.6,7.9,7.8,7.8
69.5,105055.00,35,105055,,,,,
70,,,105093,106.3,49.7,22.2,14.1,14.1
70.5,,,105130,96,26.6,20.6,20.4,20.4
71,105167.00,30,105167,124.9,30.4,7.3,6,6
71.5,,,105174,126.2,30.5,5.8,5,5
72,,,105182,135.2,25.5,8.3,7.5,7.5
72.5,105190.00,34,105190,123.3,35.3,6.7,5.4,5.4
73,,,105236,,,,,
73.5,,,105283,162.9,31.5,7.4,6.3,6.3
74,105329.00,30,105329,159.4,51.6,29.9,18.1,18.1
74.5,,,105357,146.2,40.9,2.8,2.1,2.1
75,,,105385,162.4,45.2,1.1,0.8,0.8
75.5,105413.00,40,105413,146.1,20.2,1.7,1.5,1.5
76,,,105423,167.9,43.3,0.8,0.6,0.6
76.5,,,105432,174,42.6,2,1.5,1.5
77,105441.00,31,105441,175.2,43.3,1.5,1.1,1.1
77.5,,,105450,187.1,37.4,6.2,4.9,4.9
78,,,105458,171.2,46.5,16.6,11.4,11.4
78.5,,,105467,180.8,30.7,2.3,1.9,1.9
79,,,105476,196.8,23.3,1.3,1.2,1.2
79.5,,,105484,188.3,25,0.7,0.6,0.6
80,,,105493,185.2,37.4,2.5,1.9,1.9
80.5,,,105501,185.9,14.4,5.9,5.9,5.9
81,,,105510,196.8,29.6,2.4,2.1,2.1
81.5,105518.00,55,105518,181.6,16.4,0.6,0.6,0.6
82,,,105538,162,31.1,0.8,0.7,0.7
82.5,,,105558,190.8,22.4,2,1.9,1.9
83,105578.00,69,105578,187,18.7,0.9,0.9,0.9
83.5,,,105610,187,15.5,1,1,1
84,,,105643,181.6,0.8,1.7,1.7,1.7
84.5,,,105676,186.9,21.6,1.1,1,1
85,,,105708,,,,,
85.5,,,105741,119.2,27.3,8.4,7.7,7.7
86,105773.00,57,105773,132.8,42.4,2.7,2,2
86.5,,,105785,120.8,38.8,3.7,2.9,2.9
87,,,105796,128.4,45.4,3.2,2.2,2.2
87.5,105807.00,68,105807,127.9,42.6,1.9,1.4,1.4
88,,,105848,117.7,43.8,1.4,1,1
88.5,,,105889,137.8,44.8,1.1,0.8,0.8
89,105931.00,62,105931,126.6,49.1,8.7,5.7,5.7
89.5,,,105941,134.3,42.1,6.5,4.8,4.8
90,,,105950,134.9,50.8,6.7,4.2,4.2
90.5,105960.00,84,105960,150.1,51.2,9.1,5.7,5.7
91,,,106047,117.4,60.6,19.2,9.3,9.3
91.5,106134.00,66,106134,134.1,66.6,18.1,7.1,7.1
92,,,106140,143.2,45.3,11.3,7.9,7.9
92.5,,,106146,143,41.9,6.8,5.1,5.1
93,,,106152,149.1,49.3,8.3,5.4,5.4
93.5,106159.00,138,106159,170.9,45.2,2.8,2,2
94,,,106160,182.6,49.9,2.3,1.5,1.5
94.5,,,106162,180.2,38.3,14.2,11.1,11.1
95,106248.00,134,106164,177.2,38.3,1.7,1.3,1.3
95.5,106482.00,38,106482,199.7,50.8,3.5,2.2,2.2
96,,,106515,192.2,30.7,3,2.6,2.6
96.5,106549.00,78,106549,203.2,39.9,2.2,1.7,1.7
97,,,106565,170.5,33.8,0.8,0.7,0.7
97.5,,,106582,176.2,35.9,1.8,1.5,1.5
98,106598.00,102,106598,190.9,26,0.7,0.6,0.6
