 KE SPECTRUM PER DEGREE L IN (KM/YR)^2: \int u^2 dOmega / (4 Pi)
           1   109.341498350982     
           2   38.9299227138007     
           3   13.6318770449405     
           4   4.69936445486063     
           5   1.59683765520684     
           6  0.535838962580878     
           7  0.177895034884355     
           8  5.852580459430932E-002
           9  1.910578468363974E-002
          10  6.195718039618482E-003
          11  1.997639044090971E-003
          12  6.408572587908133E-004
          13  2.046868096442065E-004
          14  6.512146659323630E-005
          15  2.064669924023912E-005
          16  6.525702332643913E-006
          17  2.056785643581806E-006
          18  6.466243191474446E-007
          19  2.028227899358861E-007
          20  6.348493781700207E-008
          21  1.983309600236497E-008
          22  6.185056528659080E-009
          23  1.925705497075002E-009
          24  5.986626406019669E-010
          25  1.858522759469788E-010
