Age (kyr)	VADM (10^22 Am^2)	Standard error (10^22 Am^2)
1003	6.2185876	0.95269234
1004	6.9223216	0.74416783
1005	8.6517959	0.91705394
1006	8.600728	0.65927231
1007	7.0871107	0.53559002
1008	8.1002988	1.118392
1009	6.6114584	0.6914325
1010	6.2174797	0.86206134
1011	6.2639437	1.0823405
1012	7.8117281	1.313296
1013	7.4639449	1.1166721
1014	6.7214386	1.1839215
1015	7.9686871	1.266387
1016	7.2862091	0.86683488
1017	7.9232909	0.97912207
1018	8.7451156	1.1695355
1019	8.6024086	0.97250802
1020	8.5580134	0.95625675
1021	7.9010616	0.91411484
1022	7.8606901	1.1163998
1023	7.6294388	1.1372193
1024	7.6437808	0.96936608
1025	8.3111027	0.98217993
1026	8.9092617	0.84533358
1027	9.6596179	0.77776251
1028	11.269289	1.1071125
1029	11.090732	0.94366075
1030	10.47175	0.96960004
1031	8.7345791	0.72908741
1032	7.7590175	0.93531959
1033	7.6934064	0.90045246
1034	6.4439082	0.53011033
1035	5.9372931	0.78499365
1036	6.3836509	0.97674639
1037	6.2705048	0.81922473
1038	6.6807476	0.7559414
1039	6.1120648	0.68484635
1040	6.1757949	0.50478204
1041	5.5736752	0.56983255
1042	5.9784652	0.52254472
1043	6.0838286	0.60111702
1044	5.4621063	0.86853266
1045	5.8348485	0.72732631
1046	6.6304137	0.56359877
1047	6.574539	0.51305488
1048	6.8579384	0.50240386
1049	7.0480552	0.7144588
1050	6.5227731	0.81955885
1051	5.4431843	0.96138479
1052	7.684544	0.80587035
1053	7.7927664	1.0223039
1054	6.0299939	0.86677299
1055	6.0374866	0.91468399
1056	7.5009148	0.95018931
1057	9.7795641	1.0540037
1058	10.067435	1.066199
1059	10.927743	1.3764978
1060	10.782849	1.0124359
1061	12.734768	1.385837
1062	13.211825	1.3694502
1063	11.645133	1.171562
1064	8.5463707	1.0464399
1065	7.0757558	0.7084629
1066	4.666755	0.49689662
1067	3.5440173	0.21659555
1068	2.2593518	0.23334496
1069	1.6010625	0.56748692
1070	1.1401931	0.38257682
1071	1.0549463	0.49363592
1072	1.1666364	0.41786607
1073	2.4494382	0.4318336
1074	3.5624868	0.5072908
1075	4.9006164	1.0313988
1076	3.8220303	0.44123543
1077	6.8801838	0.60573137
1078	8.4130287	1.1500886
1079	8.2753578	0.94980975
1080	8.4168285	1.2005978
1081	9.6103461	1.0697588
1082	9.3609392	1.6982735
1083	11.692318	0.68380607
1084	10.728526	0.71291305
1085	10.813503	0.41129995
1086	15.181195	3.4018483
1087	14.284672	1.8424212
1088	13.704647	1.3174339
1089	10.700404	0.42757269
1090	9.9671485	0.90333647
1091	8.8604893	1.0036244
1092	6.3692329	1.2030912
1093	6.2749603	1.1330178
1094	7.707595	0.83040948
1095	6.906909	0.7267822
1096	6.2422689	0.72678077
1097	6.1152808	0.73034554
1098	6.5972143	0.7584591
1099	8.5715691	1.1010568
1100	9.3093708	1.0553087
1101	9.5779963	0.9966354
1102	10.336171	1.402676
1103	9.4244157	1.2021664
1104	7.0107387	1.0467697
1105	6.146972	1.1436427
1106	6.6856653	0.92111703
1107	6.6111343	0.76268746
1108	7.1828314	0.70149899
1109	6.3613837	0.55409033
1110	5.3090631	0.54296782
1111	4.616287	0.5381324
1112	4.2128799	0.53218086
1113	3.7258642	0.64207735
1114	4.5669139	0.41314118
1115	4.8738643	0.32885326
1116	4.6414035	0.38035425
1117	5.2947225	0.59033972
1118	4.8690525	0.54220479
1119	3.8459552	0.71504726
1120	3.5606231	0.73968334
1121	2.2824467	0.79647746
1122	2.1832735	0.62793883
1123	1.2507958	0.51383652
1124	2.0859713	0.35437361
1125	3.0964089	0.43490756
1126	6.7919126	0.96696822
1127	8.6506448	0.97816407
1128	6.380447	0.43570852
1129	8.2417287	0.9218375
1130	9.5030228	1.121617
1131	6.8933317	0.36584977
1132	7.2531778	0.27155875
1133	8.947074	0.23929016
1134	9.1084202	0.63524115
1135	9.6916722	0.57825063
1136	10.641366	0.6918979
1137	10.376931	0.59266031
1138	9.6482557	0.63575306
1139	8.7630497	0.57290437
1140	8.9175789	0.41132857
1141	11.460144	0.51628875
1142	12.664518	0.87738824
1143	16.448782	2.9514199
1144	15.298687	2.0201777
1145	13.0178	0.81892674
1146	10.939538	0.19481254
1147	10.31084	0.53781831
1148	9.1731365	0.84164539
1149	8.4498268	0.70731459
1150	7.0795341	0.36539259
1151	6.0955224	0.39845641
1152	5.9610671	0.54728561
1153	6.0112078	0.79146997
1154	5.316863	0.80679222
1155	5.0686349	0.69973718
1156	5.1865338	0.73849496
1157	5.6052702	0.62961765
1158	6.5143385	0.44341185
1159	8.4027869	0.65236778
1160	10.524989	1.4080234
1161	10.166566	1.1717527
1162	9.8372994	1.0654303
1163	8.4249142	0.47229203
1164	8.0343876	0.38100818
1165	8.4915713	0.59525921
1166	8.1920752	0.55610613
1167	7.0468132	0.22657562
1168	5.6193576	0.79267087
1169	5.7793558	0.50868165
1170	5.3623221	0.64303535
1171	5.9011249	0.50289323
1172	5.1771942	0.77822076
1173	5.1260507	0.82869596
1174	4.229069	0.91512793
1175	4.6735619	0.72635615
1176	5.8304391	0.48072978
1177	5.1596358	0.45975613
1178	4.7071998	0.51954552
1179	4.4402235	0.68787846
1180	4.8502249	0.39945769
1181	4.0801088	0.57440147
1182	3.8412486	0.44978372
1183	2.6624658	0.56845029
1184	1.6908739	0.81153535
1185	1.5042074	0.57799879
1186	1.7006256	0.59577971
1187	1.9295257	0.77263661
1188	1.9869662	0.6550486
1189	1.9792857	0.60498193
1190	1.3046554	0.53526878
1191	0.95653148	0.53348085
1192	1.4255714	0.42760309
1193	1.728829	0.58808531
1194	1.6047077	0.54789733
1195	1.3393694	0.47737035
1196	1.0226791	0.44316716
1197	0.6250956	0.31082168
1198	0.52884504	0.31891115
1199	0.55430819	0.41794906
1200	0.53848941	0.44857138
1201	0.70026161	0.47587325
1202	0.95576594	0.64254597
1203	0.8389102	0.52024631
1204	0.25906016	0.46166962
1205	0.23825107	0.42841943
1206	0.17240748	0.46265946
1207	0.42810856	0.46424634
1208	1.1682E-09	0.44032393
1209	0.11462352	0.56181942
1210	1.1903682	0.52653948
1211	2.9704096	0.97561918
1212	2.2161238	0.4958864
1213	3.1509447	0.64060422
1214	4.0668836	0.75977697
1215	3.2663552	0.30815857
1216	3.8214751	0.42423722
1217	3.2979069	0.53018152
1218	2.7544272	0.671204
1219	5.5891066	1.0053762
1220	6.5985841	1.1453423
1221	5.859183	0.9033218
1222	5.1162601	0.92946893
1223	5.8479016	1.0348648
1224	4.896935	0.67802947
1225	4.0536576	0.37992784
1226	4.2099065	0.48926913
1227	5.5123218	0.66432666
1228	6.4638834	0.27644565
1229	7.2594266	0.4491695
1230	8.3282555	1.1452128
1231	6.8440855	0.79855944
1232	6.9172679	0.92057543
1233	5.6864707	0.75352316
1234	5.3435889	0.79251025
1235	5.3218158	0.6815209
1236	5.260867	0.71980935
1237	5.4356916	0.6289097
1238	6.2384941	0.55971347
1239	6.1256385	0.52884111
1240	6.7677094	0.54568871
1241	5.7098644	0.97658291
1242	6.0456979	0.87462121
1243	6.748504	1.1700005
1244	6.6210219	1.2285232
1245	5.789717	1.4174213
1246	4.1981505	1.3883025
1247	3.5421821	1.185487
1248	2.394398	1.3908352
1249	4.1109923	0.98834647
1250	6.7826857	0.96744007
1251	6.774767	0.60472078
1252	5.5746414	0.43173343
1253	6.1816238	0.33986445
1254	7.2991848	0.41452631
1255	8.0902738	0.606161
1256	9.6423986	0.85896413
1257	9.8799299	0.83660857
1258	10.298775	1.1684483
1259	8.372043	0.29248797
1260	8.6084506	0.49770903
1261	9.3844978	0.44985705
1262	10.39049	0.7018374
1263	10.089158	0.66577331
1264	8.6973835	0.57046824
1265	7.1527739	0.41355758
1266	6.6674988	0.57718639
1267	7.9996103	0.38843749
1268	8.51736	0.52435769
1269	9.4514926	0.41622624
1270	10.157289	0.71085432
1271	9.0705055	0.6405638
1272	7.4835698	1.1505708
1273	7.3478551	0.85205817
1274	7.1631426	0.70105612
1275	6.8564149	0.5696172
1276	7.163462	0.61504699
1277	6.8448162	0.60905896
1278	6.4913094	0.76384507
1279	6.8491013	0.69433547
1280	7.2612305	0.53127867
1281	6.9622123	0.83805809
1282	7.5724686	0.71508911
1283	7.8646023	0.91016265
1284	8.2916741	0.99760735
1285	8.447473	1.1620647
1286	7.3104095	0.86124286
1287	7.1508219	0.97601304
1288	6.4213276	0.50384801
1289	6.3419282	0.35181925
1290	7.5521786	0.26169999
1291	7.6285759	0.68312567
1292	8.0261548	0.82143621
1293	8.1971525	0.61825618
1294	8.3714874	0.58597972
1295	9.7185373	0.3780841
1296	10.974341	0.76888726
1297	8.0647173	0.5973437
1298	5.9293143	0.70535495
1299	6.3540588	0.87415831
1300	5.1471618	0.56715495
1301	5.4264257	0.52909259
1302	6.5399595	0.72157045
1303	5.9598343	0.56087931
1304	6.3779172	0.68893805
1305	5.9563289	0.37508991
1306	5.9467579	0.4149216
1307	6.2244833	0.68128122
1308	8.0255463	0.45161601
1309	7.9606707	0.34156133
1310	7.5095509	0.2093465
1311	7.4256835	0.3130997
1312	8.1154697	0.38345326
1313	8.289003	0.63110974
1314	8.6081502	0.23209491
1315	9.3491625	0.49454599
1316	8.9716865	0.46077995
1317	8.3904084	0.6568816
1318	7.9832123	0.43322516
1319	7.9952957	0.40648886
1320	7.5178304	0.5811908
1321	7.7182299	0.47580993
1322	7.4256356	0.90557836
1323	8.0170778	1.1213676
1324	9.2534277	0.52354135
1325	7.8218097	1.1104408
1326	10.881142	0.68160425
1327	9.8525268	0.62062148
1328	9.7330357	0.71990665
1329	10.61936	1.020443
1330	10.014369	0.63253135
1331	8.4944074	0.64624525
1332	9.4345355	0.82322843
1333	8.1788811	0.40340738
1334	8.3579205	0.56163877
1335	9.5218668	0.66221606
1336	8.1727228	1.0139688
1337	7.1283504	0.85899346
1338	10.785192	0.63313842
1339	11.066027	0.77671508
1340	11.788561	0.83447186
1341	12.512021	1.3169706
1342	12.369713	1.1252179
1343	11.202343	0.66003677
1344	8.7234058	0.24520861
1345	6.3592069	0.85562544
1346	5.3869604	1.044462
1347	4.8692775	0.71611115
1348	4.4894953	0.66678819
1349	5.1242056	1.1145168
1350	6.4607128	1.448451
1351	7.2419979	1.3652508
1352	7.3143822	1.3473693
1353	7.0555133	1.0768236
1354	6.9858441	0.88868568
1355	8.362503	1.1941118
1356	8.1923221	1.1977742
1357	8.2237915	1.2753259
1358	6.901348	1.0416016
1359	5.7866263	1.0266972
1360	5.1211964	1.0976413
1361	5.5968407	1.3513323
1362	4.5894748	0.79045366
1363	3.5887227	0.9508808
1364	5.0821613	0.83453768
1365	6.2892541	0.27439579
1366	4.6171477	0.48937609
1367	4.5757409	0.39440513
1368	3.8301196	0.34308208
1369	4.275988	0.443766
1370	6.4206704	0.66185296
1371	6.4593005	0.63657726
1372	5.2000928	0.47112762
1373	6.7454551	0.63182376
1374	7.4579736	1.0945508
1375	7.0816024	1.1337068
1376	6.9409523	0.73599336
1377	6.143521	0.54019399
1378	6.0768968	0.6894539
1379	5.0362876	0.31895286
1380	5.7416515	0.61116635
1381	7.437101	0.87431356
1382	8.3630582	0.77268777
1383	9.5332108	0.81260496
1384	9.8162134	0.71718719
1385	9.5120039	0.792487
1386	10.169296	0.91312894
1387	10.142493	0.88932923
1388	9.4025696	0.78371369
1389	9.0026952	0.78385142
1390	9.4439882	0.83103265
1391	9.4477314	0.80136869
1392	10.314116	0.55113871
1393	10.308703	0.58778124
1394	9.993476	0.57183261
1395	9.5936108	0.76114922
1396	9.8300772	0.52531747
1397	9.4340619	0.67180176
1398	10.033494	0.47159481
1399	10.60413	0.61060364
1400	12.300682	0.79516102
1401	12.822154	0.87694108
1402	12.560075	1.0971104
1403	12.195041	1.0574597
1404	11.078394	1.1509489
1405	9.1163768	0.97381838
1406	7.532101	0.68226927
1407	5.7791937	0.86145142
1408	4.3481112	0.39527978
1409	2.6129668	0.73980926
1410	3.0476433	0.85809127
1411	4.5979487	0.32985487
1412	6.9724366	0.5880152
1413	8.6529235	1.0467346
1414	9.8550306	1.1498736
1415	9.8296232	0.93368691
1416	9.267689	1.0055768
1417	9.0551175	0.58987217
1418	8.3964708	0.81944867
1419	8.073452	0.77279402
1420	7.7877657	0.37354381
1421	8.1660447	0.82809498
1422	8.7694165	0.88311727
1423	7.3551146	0.74058911
1424	6.8696189	0.87268983
1425	6.5126028	0.86477722
1426	5.5419035	0.87917939
1427	5.4282798	0.92199776
1428	5.2239132	1.0077196
1429	6.481333	0.89573187
1430	7.8929079	1.0186479
1431	6.7613804	0.6281946
1432	6.449703	0.52569416
1433	6.8353382	0.51871952
1434	7.1122924	0.75146693
1435	7.698923	0.99622867
1436	7.7042599	0.78271348
1437	8.0719345	0.67194986
1438	8.7920522	0.70876947
1439	8.8802703	0.71724837
1440	7.7019164	0.42950156
1441	6.6531191	0.40572975
1442	6.3299718	0.45523479
1443	5.6481011	0.50793972
1444	5.4637984	0.58525425
1445	5.6833413	0.67092461
1446	5.2354267	0.8005198
1447	5.0227222	0.67686327
1448	4.1323941	0.8621057
1449	4.3656241	0.72440545
1450	3.8789725	0.84844904
1451	4.2727527	0.88839735
1452	4.2934641	0.955322
1453	5.0790892	0.86220086
1454	4.969188	0.97410384
1455	5.7740002	0.88320527
1456	4.5475737	0.82149667
1457	3.0628933	0.6799841
1458	2.8170441	0.56929989
1459	2.4543534	0.18162544
1460	2.1370013	0.17341234
1461	2.0844473	0.30029093
1462	1.5518104	0.21533595
1463	1.0106702	0.39716608
1464	1.2009426	0.22301382
1465	2.8026741	0.47310586
1466	3.9339919	0.49386237
1467	5.3762779	0.86169503
1468	4.3084165	0.47973493
1469	5.9956072	0.73780061
1470	5.4775924	0.63105035
1471	5.5610148	0.78207959
1472	6.1906661	1.0630768
1473	8.1580434	1.1766936
1474	9.3429873	0.69217836
1475	10.792189	0.64956927
1476	11.949525	0.72993272
1477	12.71221	1.2077166
1478	12.132364	1.3890433
1479	11.575068	1.3072579
1480	11.011964	1.2624216
1481	9.9521418	1.2654358
1482	9.0009798	0.8920884
1483	6.5788088	0.58248543
1484	6.1495105	0.61127581
1485	6.5925352	0.63903701
1486	6.9111894	0.43527387
1487	6.0095018	0.78806511
1488	5.4219988	1.0697252
1489	7.0122042	0.69996076
1490	8.1364316	0.91070604
1491	7.5932037	0.56919615
1492	7.4686925	0.49868992
1493	8.4852273	0.22537336
1494	10.326	0.74032582
1495	11.535149	1.2098848
1496	11.652896	1.7247916
1497	10.619319	0.8712793
1498	10.813299	0.91693339
1499	13.459567	2.9711033
1500	12.755649	3.1446759
