 KE SPECTRUM PER DEGREE L IN (KM/YR)^2: \int u^2 dOmega / (4 Pi)
           1   8.63587717870971     
           2   61.1251865822100     
           3   25.0539651354301     
           4   33.9663147860060     
           5   40.2186563176442     
           6  5.286549778125747E-023
           7  1.900537537213117E-022
           8  4.472866318910798E-022
           9  5.576753204813881E-023
          10  7.066828204494894E-022
          11  2.368117416077944E-022
          12  2.230789152848888E-022
          13  7.827800479373462E-022
          14  2.000347750683811E-022
          15  7.759522264563702E-022
          16  1.601739666419592E-021
          17  2.556122990649372E-022
          18  2.417183877581376E-021
          19  5.715786094256464E-022
          20  1.029533490412438E-021
          21  1.652024859284640E-021
          22  1.153560938242774E-022
          23  1.645019555601577E-021
          24  2.162018380927594E-021
          25  5.359920655141048E-022
