 KE SPECTRUM PER DEGREE L IN (KM/YR)^2: \int u^2 dOmega / (4 Pi)
           1   105.625000000014     
           2   63.3749999999859     
           3  7.065110996789743E-026
           4  1.675314154034974E-023
           5  3.755924890004981E-026
           6  1.836383031477735E-023
           7  1.396950016339791E-026
           8  1.536800151070880E-026
           9  1.706363370934258E-026
          10  4.066339661126351E-023
          11  3.240156232057301E-026
          12  9.821547225410460E-023
          13  3.191645107954239E-026
          14  4.246421356480324E-023
          15  3.884960733469563E-026
          16  7.008543418611778E-024
          17  5.374828965244237E-026
          18  1.380884083176000E-022
          19  7.032639637256634E-026
          20  2.011154414796361E-022
          21  8.606725560218621E-026
          22  4.864782504443370E-023
          23  1.039627543314304E-025
          24  4.179993255889278E-023
          25  1.411268713224960E-025
