           1   386390.629225656     
           2   1786790.67152827     
           3   4189713.91846421     
           4   6879876.67960420     
           5   7616478.52211093     
           6   6470394.13151886     
           7   4595474.15425735     
           8   2873353.74571946     
           9   1633941.12993540     
          10   863480.381444043     
          11   430483.088049845     
          12   204670.535722121     
          13   93552.9894701115     
          14   41366.3308888511     
          15   17779.4377991455     
          16   7456.64520095820     
          17   3061.06557858538     
          18   1233.15370252239     
          19   488.538152660104     
          20   190.673821970489     
          21   73.4262350737685     
          22   27.9344507760627     
          23   10.5110043876471     
          24   3.91545765140859     
          25   1.02331148684412     
          26  0.375029933355699     
