"SUL 2-15
Italy, Sulmona","Hea,ng ,me: 60 s
measured 02/15/2012","J=0.0008041± 0.00000019343
Irr 50",,,,,,,,,,,,,,,,,,"BLANKS
10minutes",,,,,,,,,,
,Power,40Ar,40Ar,± 1σ,39Ar,± 1σ,38Ar,± 1σ,37Ar,± 1σ,36Ar,± 1σ,D 1,%1σ,% 40Ar*,Age,± 1σ,Ca/K,± 1σ,40Ar,40Ar,± 1s,39Ar,± 1s,38Ar,± 1s,37Ar,± 1s,36Ar,± 1s
N,% full power,Moles,V,V,V,V,V,V,V,V,V,V,,,,ka,ka,,,Moles,V,V,V,V,V,V,V,V,V,V
N1098-02,12,"1,266E-15","9,351E-04","1,122E-06","1,497E-03","1,347E-06","2,300E-05","9,200E-08","4,330E-06","3,464E-08","4,326E-07","1,601E-08","1,0090","0,2","92,9","792,1","± 7,7","38,2","0,4","1,368E-17","1,077E-05","2,154E-07","9,213E-08","1,935E-08","2,995E-09","1,587E-09","1,286E-08","1,222E-08","2,000E-07","2,300E-08"
N1098-03,12,"9,203E-16","6,825E-04","1,570E-06","1,029E-03","1,234E-06","1,592E-05","7,960E-08","4,830E-06","4,444E-08","4,806E-07","6,248E-09","1,0089","0,2","88,3","796,1","± 9,6","23,5","0,3","1,368E-17","1,077E-05","2,154E-07","9,213E-08","1,935E-08","2,995E-09","1,587E-09","1,286E-08","1,222E-08","2,000E-07","2,300E-08"
N1098-04,12,"1,117E-15","8,264E-04","8,264E-07","1,282E-03","1,923E-06","1,956E-05","8,802E-08","4,226E-06","3,381E-08","4,902E-07","1,029E-08","1,0089","0,2","89,9","790,2","± 8,1","33,5","0,4","1,368E-17","1,077E-05","2,154E-07","9,213E-08","1,935E-08","2,995E-09","1,587E-09","1,286E-08","1,222E-08","2,000E-07","2,300E-08"
N1098-05,12,"1,120E-15","8,260E-04","1,322E-06","1,243E-03","1,492E-06","1,800E-05","8,100E-08","4,000E-06","3,200E-08","5,789E-07","6,947E-09","1,0089","0,2","87,4","794,0","± 5,3","34,6","0,4","1,106E-17","8,707E-06","1,480E-07","1,068E-07","1,324E-08","9,754E-10","9,364E-10","4,944E-08","9,888E-09","2,164E-07","1,298E-08"
N1098-06,12,"2,227E-15","1,634E-03","2,615E-06","2,131E-03","1,279E-06","3,291E-05","1,646E-07","7,060E-06","5,648E-08","1,612E-06","1,934E-08","1,0091","0,2","75,6","796,3","± 5,3","33,5","0,3","1,106E-17","8,707E-06","1,480E-07","1,068E-07","1,324E-08","9,754E-10","9,364E-10","4,944E-08","9,888E-09","2,164E-07","1,298E-08"
N1098-07,12,"1,501E-15","1,104E-03","1,546E-06","1,746E-03","2,270E-06","2,685E-05","1,074E-07","8,000E-06","5,600E-08","5,135E-07","1,361E-08","1,0090","0,2","92,5","801,1","± 4,9","24,2","0,2","1,106E-17","8,707E-06","1,480E-07","1,068E-07","1,324E-08","9,754E-10","9,364E-10","4,944E-08","9,888E-09","2,164E-07","1,298E-08"
N1098-08,12,"1,896E-15","1,393E-03","2,368E-06","2,173E-03","2,173E-06","3,370E-05","8,425E-08","1,123E-05","3,257E-08","7,290E-07","1,538E-08","1,0090","0,2","89,7","789,0","± 4,4","21,4","0,2","1,106E-17","8,707E-06","1,480E-07","1,068E-07","1,324E-08","9,754E-10","9,364E-10","4,944E-08","9,888E-09","2,164E-07","1,298E-08"
N1098-09,12,"1,061E-15","7,836E-04","1,489E-06","1,097E-03","1,975E-06","1,733E-05","6,066E-08","4,627E-06","3,239E-08","7,179E-07","1,809E-08","1,0089","0,2","81,8","797,4","± 9,1","26,2","0,3","1,173E-17","9,235E-06","1,662E-07","1,050E-07","1,050E-08","5,810E-09","5,752E-09","1,123E-08","3,257E-09","2,207E-07","1,545E-08"
N1098-10,12,"1,823E-15","1,340E-03","1,474E-06","1,489E-03","2,234E-06","2,350E-05","3,055E-08","8,911E-06","6,238E-08","1,893E-06","2,461E-08","1,0090","0,2","64,3","794,2","± 8,8","18,4","0,2","1,173E-17","9,235E-06","1,662E-07","1,050E-07","1,050E-08","5,810E-09","5,752E-09","1,123E-08","3,257E-09","2,207E-07","1,545E-08"
N1098-11,12,"2,196E-15","1,613E-03","2,580E-06","2,453E-03","2,698E-06","3,787E-05","1,591E-07","7,252E-06","7,252E-08","8,840E-07","1,503E-08","1,0091","0,2","88,3","796,9","± 4,3","37,3","0,4","1,173E-17","9,235E-06","1,662E-07","1,050E-07","1,050E-08","5,810E-09","5,752E-09","1,123E-08","3,257E-09","2,207E-07","1,545E-08"
N1098-12,12,"1,888E-15","1,387E-03","2,358E-06","2,212E-03","2,212E-06","3,200E-05","1,344E-07","1,000E-05","1,000E-07","6,200E-07","1,674E-08","1,0090","0,2","91,9","790,9","± 4,7","24,4","0,3","1,173E-17","9,235E-06","1,662E-07","1,050E-07","1,050E-08","5,810E-09","5,752E-09","1,123E-08","3,257E-09","2,207E-07","1,545E-08"
N1098-13,12,"2,176E-15","1,597E-03","3,354E-06","2,151E-03","1,291E-06","3,277E-05","9,831E-08","5,654E-06","6,219E-08","1,448E-06","1,651E-08","1,0091","0,2","77,7","792,7","± 5,6","33,1","0,4","1,103E-17","8,685E-06","2,388E-07","1,051E-07","1,282E-08","1,615E-09","1,599E-09","1,000E-08","5,600E-09","2,032E-07","1,890E-08"
N1098-14,12,"2,243E-15","1,646E-03","2,420E-06","2,238E-03","1,567E-06","3,490E-05","1,361E-07","8,364E-06","7,026E-08","1,458E-06","2,887E-08","1,0091","0,2","78,3","791,2","± 6,7","23,3","0,2","1,103E-17","8,685E-06","2,388E-07","1,051E-07","1,282E-08","1,615E-09","1,599E-09","1,000E-08","5,600E-09","2,032E-07","1,890E-08"
N1098-15,12,"1,475E-15","1,086E-03","2,063E-06","1,646E-03","2,634E-07","3,373E-05","1,687E-07","5,960E-06","3,695E-08","7,010E-07","3,239E-08","1,0090","0,2","87,0","786,4","± 9,3","24,0","0,2","1,103E-17","8,685E-06","2,388E-07","1,051E-07","1,282E-08","1,615E-09","1,599E-09","1,000E-08","5,600E-09","2,032E-07","1,890E-08"
N1098-16,12,"2,425E-15","1,780E-03","7,298E-06","2,872E-03","2,011E-07","4,451E-05","1,335E-07","7,099E-06","4,969E-08","6,559E-07","2,230E-08","1,0091","0,2","93,0","792,0","± 5,4","35,3","0,4","1,215E-17","9,564E-06","2,104E-07","1,082E-07","2,467E-08","1,131E-08","1,120E-08","1,943E-08","1,924E-08","2,167E-07","1,604E-08"
N1098-17,12,"1,609E-15","1,184E-03","2,013E-06","1,829E-03","4,024E-06","2,818E-05","8,454E-08","5,261E-06","4,735E-08","6,540E-07","1,373E-08","1,0090","0,2","89,5","794,0","± 5,4","30,3","0,4","1,215E-17","9,564E-06","2,104E-07","1,082E-07","2,467E-08","1,131E-08","1,120E-08","1,943E-08","1,924E-08","2,167E-07","1,604E-08"
N1098-18,12,"1,599E-15","1,177E-03","1,765E-06","1,597E-03","1,597E-06","2,486E-05","9,447E-08","5,627E-06","3,939E-08","1,097E-06","2,961E-08","1,0090","0,2","78,6","793,8","± 8,8","24,7","0,3","1,215E-17","9,564E-06","2,104E-07","1,082E-07","2,467E-08","1,131E-08","1,120E-08","1,943E-08","1,924E-08","2,167E-07","1,604E-08"
N1098-19,12,"1,338E-15","9,860E-04","1,972E-06","1,492E-03","2,536E-06","2,234E-05","8,936E-08","3,197E-06","2,558E-08","6,740E-07","1,281E-08","1,0090","0,2","86,7","783,7","± 6,2","40,8","0,5","1,215E-17","9,564E-06","2,104E-07","1,082E-07","2,467E-08","1,131E-08","1,120E-08","1,943E-08","1,924E-08","2,167E-07","1,604E-08"
N1098-20,12,"2,075E-15","1,523E-03","2,437E-06","2,199E-03","2,419E-06","3,462E-05","1,039E-07","1,053E-05","5,372E-08","1,131E-06","2,386E-08","1,0091","0,2","83,2","791,9","± 5,6","18,2","0,2","1,025E-17","8,068E-06","1,372E-07","6,626E-08","1,922E-08","1,671E-08","9,692E-09","1,321E-08","1,308E-08","2,257E-07","1,286E-08"
N1098-21,12,"7,511E-15","5,491E-03","6,589E-06","7,339E-03","1,248E-05","1,171E-04","2,810E-07","1,174E-05","3,992E-08","4,763E-06","3,763E-08","1,0097","0,2","76,6","790,8","± 3,8","22,8","0,2","1,081E-17","8,512E-06","1,873E-07","4,709E-08","1,319E-08","5,337E-09","5,284E-09","5,447E-09","5,393E-09","2,266E-07","1,518E-08"
N1098-22,12,"8,099E-15","5,920E-03","1,243E-05","7,992E-03","1,359E-05","1,264E-04","2,527E-07","5,674E-05","1,532E-07","5,191E-06","5,191E-08","1,0097","0,2","77,3","790,2","± 4,5","5,1","0,0","1,081E-17","8,512E-06","1,873E-07","4,709E-08","1,319E-08","5,337E-09","5,284E-09","5,447E-09","5,393E-09","2,266E-07","1,518E-08"
D1 Mass discrimina-on per AMU based on power law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bold italic font: crystals excluded from the weighted mean age calculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Age,"± 1s (analy,cal)",,± 1s (external),MSWD,,,,,,,,,,,
"Interfering Isotope produc,on ra,os",,,Standard,ACs-2,,,,,,,,,,,ka,ka,,ka,,,,,,,,,,,,
(40Ar/39Ar)k,8.439 E-04 ± 25 %,,Age,1.193 ± 0.02 Ma,,,,,Weighted mean age,,,,,,"792,6","1,2",,"8,5","0,5",,,,,,,,,,,
(36Ar/37Ar)Ca,4.034 E-04 ± 5.96%,,Irr -me,105 minutes,,,,,Inverse Isochron,,,,,,"793,0","3,0",,"8,8","0,5",,,,,,,,,,,
(39Ar/37Ar)Ca,5.288 E-04 ± 25 %,,Reactor,Osiris 70Mw (France),,,,,(40Ar/36Ar)Int (1σ),,,,,,294.8 ± 4.5,,,,,,,,,,,,,,,
(38Ar/37Ar)Ca,1.447 E-04 ± 26 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atmospheric argon ra,os",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(40Ar/36Ar)A,295.5 ± 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(40Ar/38Ar)A,0.1880 ± 0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decay constants (S-J 1977),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K le (5.81 ± 0.00)E-11 a-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K lb (4.962 ± 0.000)E-10 a-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
