     0.000  1.703400000000000E+01  4.069500000000000E+00  1.951700000000000E+00 -4.023100000000000E-01  3.460700000000000E+00 -2.338000000000000E+00 -3.122700000000000E+00  9.069900000000000E-01  1.489000000000000E+00 -2.933300000000000E-01 -1.013200000000000E+00 -1.201700000000000E+00 -4.805600000000000E-01 -5.404200000000000E-01  7.979800000000000E-01  1.029200000000000E+00  1.228700000000000E+00 -5.836100000000000E-01 -6.682100000000000E-01 -3.515800000000000E-01 -5.324400000000000E-01  6.470200000000000E-02  3.070400000000000E-01  3.903200000000000E-01
     1.000  1.691222627331496E+01  4.062478608654911E+00  1.930278070708421E+00 -4.125714761020245E-01  3.463489349965831E+00 -2.359971396677036E+00 -3.140412682485207E+00  9.004290349213404E-01  1.436000271202656E+00 -2.898704032114018E-01 -1.007849223391029E+00 -1.202920339816326E+00 -4.948783099966144E-01 -5.444200119619649E-01  7.992838632761284E-01  1.025077891710976E+00  1.224328929631219E+00 -5.659057230569929E-01 -6.638368422583470E-01 -3.521606684489593E-01 -5.351959040508137E-01  6.270356800278039E-02  3.089702702140331E-01  3.914744406075771E-01
     2.000  1.679072539433296E+01  4.055507016988678E+00  1.908966945575055E+00 -4.227590793419562E-01  3.466139516625524E+00 -2.381430352955287E+00 -3.158136912769467E+00  8.938819513176608E-01  1.383569350948882E+00 -2.864755925151297E-01 -1.002375985675103E+00 -1.203980103048496E+00 -5.090876079447335E-01 -5.484438209478182E-01  8.006675452863929E-01  1.021030195242049E+00  1.219934588524944E+00 -5.481819433933932E-01 -6.593113260515909E-01 -3.527102405039116E-01 -5.379182134657214E-01  6.067573125532966E-02  3.109301339750098E-01  3.926775830910382E-01
     3.000  1.666941037287925E+01  4.048568453048047E+00  1.887732697968855E+00 -4.328932665971709E-01  3.468697195440182E+00 -2.402547125083119E+00 -3.175865756219204E+00  8.873449289998770E-01  1.331519844931109E+00 -2.831227938066736E-01 -9.968223910933369E-01 -1.204932229840158E+00 -5.232234226069989E-01 -5.524823299522833E-01  8.021035087321172E-01  1.017032253571351E+00  1.215525479745928E+00 -5.304479200838732E-01 -6.546857812462001E-01 -3.532387961998498E-01 -5.406177585946974E-01  5.862787845790708E-02  3.129092854603000E-01  3.939127242118856E-01
     4.000  1.654828253167148E+01  4.041662866757119E+00  1.866576315393254E+00 -4.429726876506617E-01  3.471162513317360E+00 -2.423321594997442E+00 -3.193598193097586E+00  8.808182372997125E-01  1.279852423047823E+00 -2.798116084629333E-01 -9.911888934066825E-01 -1.205776547970212E+00 -5.372855000614329E-01 -5.565351517279969E-01  8.035914391724238E-01  1.013084089291568E+00  1.211101853993148E+00 -5.127045692190682E-01 -6.499607336929123E-01 -3.537462478171527E-01 -5.432944243319885E-01  5.655987942817556E-02  3.149075746286247E-01  3.951797027868011E-01
     5.000  1.642734363277447E+01  4.034790188963204E+00  1.845499119025238E+00 -4.529955299256097E-01  3.473535630518137E+00 -2.443753582699751E+00 -3.211332861272068E+00  8.743022350104797E-01  1.228568000406113E+00 -2.765415071534119E-01 -9.854760886641976E-01 -1.206512820217612E+00 -5.512734966437829E-01 -5.606017697928946E-01  8.051309188294111E-01  1.009185741443364E+00  1.206664044729074E+00 -4.949531129545264E-01 -6.451368805180187E-01 -3.542324759427115E-01 -5.459480547402009E-01  5.447155817545529E-02  3.169248024591770E-01  3.964783055624935E-01
     6.000  1.630659543889797E+01  4.027950352964395E+00  1.824502424609955E+00 -4.629599942655967E-01  3.475816716092284E+00 -2.463842930725246E+00 -3.229068401795843E+00  8.677972809061366E-01  1.177667469906095E+00 -2.733119588198462E-01 -9.796845812704275E-01 -1.207140817021676E+00 -5.651870739567719E-01 -5.646816681038673E-01  8.067215286379383E-01  1.005337240360868E+00  1.202212385981838E+00 -4.771947720820806E-01 -6.402149224415828E-01 -3.546973636508638E-01 -5.485784964134346E-01  5.236274123423986E-02  3.189607689881588E-01  3.978083177488979E-01
     7.000  1.618603971310169E+01  4.021143294252903E+00  1.803587542838875E+00 -4.728642937183163E-01  3.478005946861779E+00 -2.483589501625521E+00 -3.246803458724994E+00  8.613037336617890E-01  1.127151704637530E+00 -2.701224309754180E-01 -9.738149829073979E-01 -1.207660315646665E+00 -5.790258983248003E-01 -5.687743310779224E-01  8.083628484349902E-01  1.001538608691352E+00  1.197747212224433E+00 -4.594307660197698E-01 -6.351955632767061E-01 -3.551407962350731E-01 -5.511855982124502E-01  5.023325741040102E-02  3.210152734359075E-01  3.991695232196274E-01
     8.000  1.606567821869377E+01  4.014368950520776E+00  1.782755779250070E+00 -4.827066536547391E-01  3.480103507400354E+00 -2.502993177956600E+00 -3.264536679194848E+00  8.548219518172123E-01  1.077021557853367E+00 -2.669723897532444E-01 -9.678679124650230E-01 -1.208071100186730E+00 -5.927896408106724E-01 -5.728792436235958E-01  8.100544569809258E-01  9.977898614214628E-01  1.193268858348389E+00 -4.416623127391306E-01 -6.300795098828537E-01 -3.555626612109983E-01 -5.537692112713274E-01  4.808293779239862E-02  3.230881142172086E-01  4.005617045258325E-01
     9.000  1.594551271912248E+01  4.007627261665951E+00  1.762008434122000E+00 -4.924853118959543E-01  3.482109590011597E+00 -2.522053862265968E+00 -3.282266713501320E+00  8.483522937379816E-01  1.027277862941737E+00 -2.638612999580654E-01 -9.618439959668521E-01 -1.208372961571114E+00 -6.064779772333784E-01 -5.769958911744302E-01  8.117959319821405E-01  9.940910059052628E-01  1.188777659635707E+00 -4.238906286877014E-01 -6.248674721160707E-01 -3.559628483197439E-01 -5.563291890045347E-01  4.591161576319686E-02  3.251790889522982E-01  4.019846429109913E-01
    10.000  1.582554497786800E+01  4.000918169797977E+00  1.741346802367965E+00 -5.021985188386144E-01  3.484024394706535E+00 -2.540771477078243E+00 -3.299992215181899E+00  8.418951175767634E-01  9.779214333993086E-01 -2.607886251178522E-01 -9.557438664954762E-01 -1.208565697568835E+00 -6.200905881855380E-01 -5.811237597223523E-01  8.135868501137639E-01  9.904420418928379E-01  1.184273951730811E+00 -4.061169287117295E-01 -6.195601627790834E-01 -3.563412495309696E-01 -5.588653871138052E-01  4.371912701195090E-02  3.272879944778966E-01  4.034381183257789E-01
