 KE SPECTRUM PER DEGREE L IN (KM/YR)^2: \int u^2 dOmega / (4 Pi)
           1   3.41222307946413     
           2   70.2059178447585     
           3   13.5057755956652     
           4   17.4072683048548     
           5   5.52292949544450     
           6   13.9416895879456     
           7   3.17821541346324     
           8   6.66692908979622     
           9   7.19084056320485     
          10   8.01158863382819     
          11   6.32824445990861     
          12   5.19607138404713     
          13   4.98452814310188     
          14   3.44777840451713     
          15  8.317148681638861E-023
          16  3.217507952292339E-022
          17  1.670264469407065E-022
          18  1.142944669983297E-022
          19  2.119104572809844E-022
          20  4.427993945778905E-022
          21  1.793731346588104E-022
          22  1.115892514117405E-021
          23  1.366394819628725E-022
          24  1.388931781384010E-021
          25  1.749808928507912E-022
