 KE SPECTRUM PER DEGREE L IN (KM/YR)^2: \int u^2 dOmega / (4 Pi)
           1   43.3898198044276     
           2   44.0522725221977     
           3   34.0573742031937     
           4   27.1490989041781     
           5   20.3514345660030     
           6  1.494574081956882E-023
           7  1.495075549657487E-023
           8  2.122771928983150E-023
           9  1.737999915330236E-023
          10  3.908569417211262E-023
          11  1.773699012977731E-023
          12  5.727542349164519E-023
          13  2.988450757460944E-023
          14  6.580681508462029E-023
          15  4.541130316694888E-023
          16  8.022371940602518E-023
          17  4.580060020411474E-023
          18  1.110124713646565E-022
          19  4.245847670078213E-023
          20  1.350887193514375E-022
          21  5.817977216998917E-023
          22  1.355991214261524E-022
          23  8.134878174517706E-023
          24  1.385114087100613E-022
          25  8.591927576650889E-023
