           1   4527518.08718084     
           2   453794.737699192     
           3   645292.721477717     
           4   3085110.85779523     
           5   2710256.88967563     
           6   5176871.29346939     
           7   5984529.87607314     
           8   4537564.10387889     
           9   12769511.2707197     
          10   8438225.25982587     
          11   9640737.54424180     
          12   14897967.6867136     
          13   18681373.5432951     
          14   8757854.42148578     
          15   8942614.99730907     
          16   3791156.43715307     
          17   6620062.76649678     
          18   4129588.41926250     
          19   5391994.58872283     
          20   2630368.86354032     
          21   3523183.49555776     
          22   1762217.10958301     
          23   1847430.68887842     
          24   1166944.74405172     
          25   697257.182943239     
          26   465530.392670931     
          27   268511.228723248     
          28  1.197061551901815E-016
          29  1.882349809061982E-016
          30  4.832214215794016E-017
          31  1.536069693400671E-016
          32  4.772361410122183E-017
          33  8.022204777947120E-017
          34  3.594409470477466E-017
          35  2.227095947635040E-017
          36  1.825000023201083E-017
          37  8.199580452696603E-018
          38  4.332700821345048E-018
