OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B 13
  1   0    -3.33268E-04      0.00000E+00     -1.71620E-17      0.00000E+00
  1   1    -8.80478E-05     -4.07418E-05     -2.41322E-03     -7.52275E-04
  2   0     5.27197E-04      0.00000E+00     -2.61118E-04      0.00000E+00
  2   1    -4.49164E-04      1.04726E-03     -3.83134E-04      3.01297E-05
  2   2     9.03403E-05      1.72360E-04      3.03607E-04     -1.05343E-04
  3   0    -1.09794E-04      0.00000E+00      5.23363E-04      0.00000E+00
  3   1    -7.60793E-05      4.57900E-05      1.13879E-04      7.54700E-05
  3   2    -3.88826E-05     -2.58319E-04     -3.77764E-04     -7.20287E-07
  3   3    -1.22983E-04     -1.38971E-04      1.51375E-04      9.33656E-05
  4   0    -1.98715E-05      0.00000E+00     -3.46617E-04      0.00000E+00
  4   1     1.59812E-04     -2.26572E-04      3.32145E-04      1.76120E-04
  4   2    -1.20189E-04      2.51855E-04      2.51945E-04      7.51602E-05
  4   3     1.21610E-04     -9.71802E-05      2.96231E-05      1.10936E-05
  4   4    -2.90703E-05     -1.12332E-04     -3.54790E-05      2.14140E-05
  5   0    -5.42426E-05      0.00000E+00     -2.60691E-04      0.00000E+00
  5   1     2.74240E-05     -2.91518E-04     -2.82423E-04     -1.08548E-04
  5   2     1.77702E-04     -5.68330E-05      2.29200E-04      1.20919E-04
  5   3    -7.11427E-05     -5.23801E-06      1.19789E-04      7.34671E-05
  5   4     2.34291E-05      1.01232E-04     -5.49487E-05     -1.07810E-04
  5   5    -1.75101E-05     -1.57054E-06     -6.08828E-05     -3.20712E-06
  6   0    -1.21262E-05      0.00000E+00     -7.45318E-05      0.00000E+00
  6   1    -3.99306E-05     -4.79650E-05      1.42766E-05      2.52550E-05
  6   2    -4.20078E-05     -1.25099E-04      1.45575E-04     -6.73727E-05
  6   3     1.35242E-04     -4.49174E-05      8.55828E-05      6.33264E-05
  6   4    -4.06768E-05      1.06277E-05     -1.02021E-04      2.21409E-06
  6   5    -3.50492E-05      8.28399E-05      9.65797E-06     -8.64914E-05
  6   6     3.95155E-05     -9.17195E-06     -1.39963E-05     -1.24626E-05
  7   0    -8.75520E-06      0.00000E+00      2.08894E-04      0.00000E+00
  7   1     6.17938E-06     -7.15386E-05      2.07026E-04      7.42557E-05
  7   2     4.61424E-05     -3.40256E-05     -1.77053E-04     -9.81674E-05
  7   3     1.14499E-06      3.61111E-05     -3.72904E-05     -4.42185E-05
  7   4     4.04108E-05      5.21055E-05      6.19765E-05      3.73892E-05
  7   5    -5.46005E-05     -5.19595E-06      2.71708E-05      6.65383E-05
  7   6     2.29485E-05      3.23847E-05      1.35211E-05      2.23949E-06
  7   7     4.59022E-05      6.78857E-05      2.73686E-06     -1.88060E-05
  8   0    -1.48147E-04      0.00000E+00     -5.00379E-05      0.00000E+00
  8   1     8.53256E-05     -1.31285E-04      1.59605E-04      6.11709E-05
  8   2    -8.31927E-05      1.39415E-06      1.47064E-05     -7.57310E-06
  8   3    -2.51093E-05      1.09818E-05      2.62910E-05     -4.42038E-05
  8   4     2.42696E-05     -7.49797E-06     -5.54514E-05     -2.58687E-06
  8   5     4.21053E-05     -2.61753E-05     -8.31613E-05     -3.72919E-05
  8   6    -1.78542E-05     -2.99263E-05      5.45880E-05      5.73135E-05
  8   7    -2.81453E-05      4.61709E-05      2.82529E-05     -2.55825E-06
  8   8     6.47573E-05      2.47498E-05     -2.20869E-05     -1.77215E-05
  9   0     3.38560E-05      0.00000E+00     -9.17037E-06      0.00000E+00
  9   1    -1.69204E-05     -8.96708E-06      1.01489E-05     -3.83921E-05
  9   2     6.73612E-05      6.24922E-06      6.99170E-05     -1.60306E-04
  9   3    -1.03891E-05      4.04524E-05      3.73293E-06      8.43477E-05
  9   4    -6.26869E-06      1.98614E-05      5.02932E-05      5.73150E-05
  9   5    -3.34494E-05      2.31624E-05     -3.75900E-06     -7.17103E-05
  9   6    -1.66688E-05     -3.03736E-05     -9.16912E-05     -3.56066E-05
  9   7    -4.27274E-06     -3.57016E-05      2.49389E-05      3.99100E-05
  9   8    -3.18531E-05      5.06553E-05      5.11748E-05     -3.41009E-05
  9   9    -6.68281E-05      6.35259E-05     -3.66717E-05     -3.13871E-05
 10   0    -8.15338E-05      0.00000E+00      6.97624E-05      0.00000E+00
 10   1     5.92595E-05     -3.03673E-05     -2.65916E-05     -8.47907E-06
 10   2    -6.74417E-05     -6.48812E-05     -9.41451E-05     -1.63051E-05
 10   3     4.62680E-05      2.96013E-05     -9.63687E-06     -4.58819E-05
 10   4     3.71176E-05      2.14279E-05      1.25975E-05      1.12681E-04
 10   5    -5.68771E-06      1.31006E-05      1.12155E-06      3.92882E-05
 10   6    -6.75839E-05      3.89000E-05      2.41320E-05     -3.19464E-05
 10   7    -1.76666E-06     -3.92430E-06     -1.73148E-07      2.67420E-05
 10   8    -1.89839E-05     -1.72070E-05      4.37675E-05     -2.26858E-05
 10   9    -5.49947E-05      3.54392E-05      4.23601E-05      8.28439E-06
 10  10    -3.36699E-05      3.08867E-05      1.90069E-05     -1.62268E-05
 11   0     1.10662E-06      0.00000E+00      3.39844E-05      0.00000E+00
 11   1    -3.62808E-06      3.59468E-05      1.03810E-04     -3.34264E-05
 11   2     2.60034E-05     -3.63526E-06     -6.17595E-05      1.02045E-05
 11   3    -4.77380E-06      3.03295E-05     -3.75526E-05      3.52640E-05
 11   4     1.52710E-05     -4.05497E-05      3.27303E-05     -7.79947E-06
