 KE SPECTRUM PER DEGREE L IN (KM/YR)^2: \int u^2 dOmega / (4 Pi)
           1   23.8118248208206     
           2   31.3232633731219     
           3   39.2793507948114     
           4   32.2993664739260     
           5   20.7057684075623     
           6   11.3875807366429     
           7   5.65267251800109     
           8   2.60810233211715     
           9   1.13930305383033     
          10  0.477002713416472     
          11  0.193057662943696     
          12  7.600375594124999E-002
          13  2.924039238693323E-002
          14  1.103267581288981E-002
          15  4.093956503335057E-003
          16  1.497410642576360E-003
          17  5.408308651107249E-004
          18  1.931757729789684E-004
          19  6.832092251825391E-005
          20  2.395070624513177E-005
          21  8.329746019549754E-006
          22  2.876232798452903E-006
          23  9.866882688308826E-007
          24  3.364705558012307E-007
          25  1.141147539787590E-007
